sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
安南,臺南市,76,細懸浮微粒,普通,1.5,0.38,44,36,98,30,8,9.3,1.1,3.7,342,"2024/12/22 13:00:00",0.3,25,70,1,120.2175,23.048197,45
臺南,臺南市,79,細懸浮微粒,普通,1.8,0.35,44,37,94,28,10,12.1,1.8,4.6,359,"2024/12/22 13:00:00",0.3,26,67,1,120.21947897,22.98928311,46
美濃,高雄市,76,細懸浮微粒,普通,1.3,0.34,49,30,38,22,5,5.9,0.6,1.4,283,"2024/12/22 13:00:00",0.3,25,39,1,120.530542,22.883583,47
橋頭,高雄市,82,細懸浮微粒,普通,1.9,0.37,44,34,56,31,10,12.4,1.6,4.1,13,"2024/12/22 13:00:00",0.3,28,50,1,120.305689,22.757506,48
仁武,高雄市,80,細懸浮微粒,普通,1.7,0.36,47,32,56,28,9,10.9,0.9,3,337,"2024/12/22 13:00:00",0.3,27,50,1,120.332631,22.689056,49
鳳山,高雄市,88,細懸浮微粒,普通,2.9,0.6,44,28,62,28,14,17.8,3,1.4,285,"2024/12/22 13:00:00",0.5,30,55,1,120.357422,22.628126,50
大寮,高雄市,88,細懸浮微粒,普通,3,0.46,53,32,61,27,13,15,1.5,1.9,337,"2024/12/22 13:00:00",0.4,30,55,1,120.425311,22.56413611,51
林園,高雄市,109,細懸浮微粒,對敏感族群不健康,7.1,0.68,40,28,75,44,27,33,5.4,2,185,"2024/12/22 13:00:00",0.5,38,66,3,120.41175,22.4795,52
楠梓,高雄市,78,細懸浮微粒,普通,2.1,0.35,46,34,56,30,9,11.1,1.7,2.4,16,"2024/12/22 13:00:00",0.3,26,52,2,120.328289,22.733667,53
左營,高雄市,79,細懸浮微粒,普通,2,0.44,45,33,55,26,10,11.9,1.7,3.1,353,"2024/12/22 13:00:00",0.4,26,51,1,120.292917,22.674861,54
前金,高雄市,78,細懸浮微粒,普通,1.8,0.41,44,31,57,31,10,13.3,2.4,3.1,352,"2024/12/22 13:00:00",0.4,26,53,1,120.28676111,22.63390278,56
前鎮,高雄市,84,細懸浮微粒,普通,2.2,0.47,44,30,61,33,13,16.4,2.9,2.7,17,"2024/12/22 13:00:00",0.4,28,54,2,120.30833356,22.6044507,57
小港,高雄市,90,細懸浮微粒,普通,2.4,0.49,51,30,53,34,14,16.3,2,1.6,316,"2024/12/22 13:00:00",0.4,31,51,2,120.337736,22.565833,58
屏東,屏東縣,86,細懸浮微粒,普通,1.7,0.4,49,29,51,26,8,9.5,1.3,1.7,350,"2024/12/22 13:00:00",0.3,29,51,1,120.488033,22.673081,59
潮州,屏東縣,112,細懸浮微粒,對敏感族群不健康,4.4,0.53,54,31,64,40,9,11.5,2.2,2.3,283,"2024/12/22 13:00:00",0.4,39,65,2,120.561175,22.523108,60
恆春,屏東縣,65,細懸浮微粒,普通,1.3,0.26,47,48,,27,2,3,0.8,14.3,35,"2024/12/22 13:00:00",0.2,21,,1,120.788928,21.958069,61
臺東,臺東縣,38,,良好,1.2,0.3,40,41,20,4,4,5.8,1.1,1.7,331,"2024/12/22 13:00:00",0.3,5,28,,121.15045,22.755358,62
花蓮,花蓮縣,33,,良好,0.9,0.35,39,36,19,9,5,6.3,1,2.2,67,"2024/12/22 13:00:00",0.3,6,16,0,121.599769,23.971306,63
陽明,臺北市,57,細懸浮微粒,普通,0.8,0.28,42,38,29,15,4,4.6,0.5,,,"2024/12/22 13:00:00",0.3,17,31,0,121.529583,25.182722,64
